time/fps,custom/min_dyn_distance,custom/mean_form_error,time/total_timesteps,time/iterations,time/time_elapsed,custom/mean_z_error,custom/collision,train/std,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/loss
2111,4.862149626016617,8.852966620546496,98304,24,46,0.18890513927908614,0.0,7.780703544616699,0.004730216,27.382752829790114,0.0244384765625,0.2,0.9841002821922302,-0.006560412643011659,0.0001,-68.60455207824707,41750,2.161990165710449
2107,3.3853822350502014,6.605278993539445,102400,25,48,0.1434987157554133,0.0,7.8162689208984375,0.010348115,13.772504288330675,0.071337890625,0.2,0.9872835874557495,-0.00997926254203776,0.0001,-68.6446689605713,41760,0.5324722528457642
2103,3.196095049381256,9.688035661296126,106496,26,50,0.2453535541862948,0.0,7.822981834411621,0.0059857774,22.38464817442,0.03125,0.2,0.9892646074295044,-0.008522587892366573,0.0001,-68.69446890354156,41770,1.2521271705627441
2085,2.854232043027878,4.859359667015546,110592,27,53,0.050418336046277545,0.0,7.8299431800842285,0.0091144815,20.839598574861885,0.062744140625,0.2,0.9910048246383667,-0.011353042475820984,0.0001,-68.71301040649413,41780,0.5667553544044495
2072,3.278206914663315,6.484336945047973,114688,28,55,0.16538336575467838,0.0,7.8473405838012695,0.010072658,10.482668265327812,0.0620361328125,0.2,0.9877995848655701,-0.011867596417141612,0.0001,-68.74302043914795,41790,0.4559292793273926
2076,2.638518273830414,4.7819687542031755,118784,29,57,0.2828618332714541,0.0,7.849417209625244,0.006693454,20.05246104300022,0.038525390625,0.2,0.988304615020752,-0.011567254282999784,0.0001,-68.77670819759369,41800,1.3070942163467407
2076,2.6842340230941772,8.411548172316664,122880,30,59,0.23606761246628594,0.0,7.841429233551025,0.006382836,34.300475587323305,0.0398193359375,0.2,0.9855824112892151,-0.010964083932049108,0.0001,-68.76965594291687,41810,1.3437221050262451
2081,2.078131377696991,6.861192595818086,126976,31,61,0.14150754660659004,0.0,7.860072135925293,0.0077710906,32.534149683639406,0.05126953125,0.2,0.9869780540466309,-0.011142516444670037,0.0001,-68.77307493686676,41820,1.8095608949661255
2078,2.210231602191925,4.902483402047501,131072,32,63,0.16516468745976454,0.0,7.867964267730713,0.0070386427,10.457879702374338,0.04150390625,0.2,0.9925040006637573,-0.008105497189535526,0.0001,-68.80759670734406,41830,0.6259498596191406
2079,3.0062686800956726,5.143800267420442,135168,33,64,0.23986978830362204,0.0,7.873124599456787,0.009261825,9.965255856141448,0.0634033203125,0.2,0.9902020692825317,-0.01477424480690388,0.0001,-68.82292098999024,41840,1.5469986200332642
2079,2.563298851251602,7.628483793323593,139264,34,66,0.09585629549110308,0.0,7.875927925109863,0.0065266034,18.924157889559865,0.0353271484375,0.2,0.9872148633003235,-0.009226432051218581,0.0001,-68.83506782054901,41850,0.8431690335273743
2079,4.919723927974701,9.152438653672883,143360,35,68,0.10135977697791532,0.0,7.884321689605713,0.0064806435,59.84092571772635,0.037060546875,0.2,0.9834481477737427,-0.00854092895388021,0.0001,-68.84748613834381,41860,2.288980007171631
2076,2.6672680377960205,7.994992580461403,147456,36,71,0.1440389722411055,0.0,7.8861236572265625,0.008193407,6.978010629303753,0.0651611328125,0.2,0.9858250021934509,-0.011803765942750033,0.0001,-68.86161341667176,41870,0.5046926736831665
2077,4.851352691650391,9.187320946406121,151552,37,72,0.1673009783262387,0.0,7.885270595550537,0.003799312,21.041489449888466,0.0213623046875,0.2,0.9925171136856079,-0.00543017298077757,0.0001,-68.86591091156006,41880,1.3382635116577148
