time/time_elapsed,time/fps,custom/mean_form_error,custom/collision,custom/min_dyn_distance,custom/mean_z_error,time/total_timesteps,time/iterations,train/clip_fraction,train/n_updates,train/std,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_range
1203,2019,4.58862654702906,0.0,2.0808438807725906,0.19242025465064216,2430976,1187,0.30703125,11860,2.412169933319092,0.0005895652833714848,-0.3133770525455475,-0.044535248685861006,-45.423157811164856,0.9958067536354065,0.00025,0.03907329,0.2
1204,2020,6.937133511555839,0.0,2.498187303543091,0.21447624861320946,2433024,1188,0.333349609375,11870,2.413817882537842,0.0003973495031459606,-0.3142102062702179,-0.051417528607998975,-45.44059085845947,0.9962148070335388,0.00025,0.042811662,0.2
1205,2020,6.428985323787349,0.0,3.240407317876816,0.16701781749725342,2435072,1189,0.359521484375,11880,2.414069890975952,0.0004329109478931059,-0.29265427589416504,-0.04485042173764668,-45.455197310447694,0.9961527585983276,0.00025,0.04064406,0.2
1205,2020,7.242197130529427,0.0,2.7085928171873093,0.1705319806933403,2437120,1190,0.306201171875,11890,2.4085769653320312,0.0004735440587865014,-0.30646347999572754,-0.03541853680217173,-45.439578366279605,0.9954986572265625,0.00025,0.06168755,0.2
1206,2021,9.402979221937436,0.0,3.138736605644226,0.19060626738064457,2439168,1191,0.273095703125,11900,2.4080581665039062,0.0005058456720234972,-0.2476988583803177,-0.030245750088943167,-45.41323630809784,0.9966973066329956,0.00025,0.038361795,0.2
1207,2021,3.241534005835044,0.0,1.7261255830526352,0.07321389614662621,2441216,1192,0.204541015625,11910,2.412039041519165,0.0006077452748286305,-0.252360075712204,-0.014097505851532332,-45.42827699184418,0.9948509931564331,0.00025,0.044162508,0.2
1208,2021,2.8751601944489424,0.0,1.595468431711197,0.07654966674454045,2443264,1193,0.3099609375,11920,2.4177334308624268,0.00026457660621872494,-0.28551867604255676,-0.0482392465492012,-45.477931070327756,0.9988964796066284,0.00025,0.043797463,0.2
1209,2022,4.364311999756364,0.0,1.3465888798236847,0.17728549204184674,2445312,1194,0.271337890625,11930,2.4228081703186035,0.00033510824684981346,-0.2880723476409912,-0.04582368370320182,-45.51570205688476,0.9985083341598511,0.00025,0.04229739,0.2
1210,2022,3.4378238623811637,0.0,1.7042475491762161,0.16065807306949864,2447360,1195,0.279150390625,11940,2.4215121269226074,0.00047952307963896603,-0.2820470333099365,-0.045222326760995205,-45.53581218719482,0.9969160556793213,0.00025,0.05511863,0.2
1210,2022,4.468847801873381,0.0,2.4673880338668823,0.1910339973983355,2449408,1196,0.231103515625,11950,2.4238321781158447,0.007101316366242827,-0.2573665976524353,-0.016657673189183698,-45.52808268070221,0.932849109172821,0.00025,0.03642369,0.2
1211,2022,2.347215386700381,0.0,1.9131671488285065,0.04841382355061796,2451456,1197,0.24990234375,11960,2.428277015686035,0.0006973708602345142,-0.28502511978149414,-0.0346593523354386,-45.55824463367462,0.9984488487243652,0.00025,0.026413528,0.2
1212,2023,3.4282316956417653,0.0,2.5318938940763474,0.04891263692115899,2453504,1198,0.266357421875,11970,2.4312527179718018,0.0025323331918571056,-0.26810604333877563,-0.028536541986977682,-45.58928487300873,0.9847131371498108,0.00025,0.02780483,0.2
1213,2024,4.844422988065967,0.0,3.2828889042139053,0.08080636116210371,2455552,1199,0.246337890625,11980,2.436413049697876,0.0003093069063197618,-0.2623538374900818,-0.03327232315496076,-45.61330060958862,0.998697817325592,0.00025,0.035255298,0.2
1214,2024,3.9412069400120777,0.0,2.0335929542779922,0.0724224228397361,2457600,1200,0.282666015625,11990,2.442551851272583,0.0006174510077016748,-0.28937646746635437,-0.04492914893780835,-45.668407392501834,0.9958890080451965,0.00025,0.037362147,0.2
1214,2024,4.130277091335254,0.0,1.7975718080997467,0.0688658712169854,2459648,1201,0.322802734375,12000,2.437422513961792,0.0003152313920963934,-0.2849982678890228,-0.04453051860327832,-45.67522931098938,0.9979925751686096,0.00025,0.039410334,0.2
1215,2025,5.645042464904053,0.0,1.989708125591278,0.12124946863332298,2461696,1202,0.3287109375,12010,2.442521572113037,0.0004077665523709584,-0.31041374802589417,-0.05148899835476186,-45.674096894264224,0.9974488019943237,0.00025,0.041607585,0.2
1216,2025,4.760646552742222,0.0,1.906713828444481,0.15123508872420643,2463744,1203,0.29296875,12020,2.4422755241394043,0.0011518153266024457,-0.2852155566215515,-0.03352776462852489,-45.68759822845459,0.9889556765556335,0.00025,0.034757227,0.2
1217,2025,2.771228655954464,0.0,1.7807961851358414,0.16770334392640507,2465792,1204,0.323046875,12030,2.4389986991882324,0.00041274211159816334,-0.28678667545318604,-0.054511365183861925,-45.67477719783783,0.9980132579803467,0.00025,0.03996817,0.2
1218,2025,2.5173858899173442,0.0,1.9620551615953445,0.09858967735362967,2467840,1205,0.295166015625,12040,2.4408836364746094,0.0006581557784102188,-0.29991766810417175,-0.0500250763609074,-45.66742618083954,0.9972869157791138,0.00025,0.040246796,0.2
1218,2026,2.473276448096901,0.0,1.9740791767835617,0.0559872925223317,2469888,1206,0.2123046875,12050,2.4496941566467285,0.017717205741973885,-0.23908227682113647,-0.017004151752917095,-45.69475655555725,0.9605020880699158,0.00025,0.03193634,0.2
1219,2027,3.4328280384846965,0.0,2.243056818842888,0.07328621746273711,2471936,1207,0.29033203125,12060,2.4514927864074707,0.0003802359510700626,-0.29953670501708984,-0.04381091390096117,-45.74360744953155,0.9991104006767273,0.00025,0.036786757,0.2
1220,2027,4.156077956846677,0.0,2.4174156486988068,0.15690534709574422,2473984,1208,0.291552734375,12070,2.453294277191162,0.0005379569910928695,-0.2912657558917999,-0.0449022597487783,-45.753703761100766,0.9925806522369385,0.00025,0.031942714,0.2
1221,2027,4.575343187961073,0.0,2.3297966718673706,0.16708378570183413,2476032,1209,0.34833984375,12080,2.460057020187378,0.000876346332461253,-0.2990638017654419,-0.053705610285396686,-45.78770031929016,0.987665593624115,0.00025,0.048998356,0.2
1221,2028,6.135874560404979,0.0,2.626155659556389,0.21632396016502753,2478080,1210,0.305908203125,12090,2.4594106674194336,0.0006287107747539267,-0.3119924068450928,-0.046550628659315405,-45.81219401359558,0.9954023361206055,0.00025,0.036310457,0.2
1222,2028,4.8048335716185875,0.0,2.526098981499672,0.14266270957887173,2480128,1211,0.30791015625,12100,2.46744966506958,0.0007508517287078576,-0.306879460811615,-0.03433095852378756,-45.84873971939087,0.9915913343429565,0.00025,0.036692195,0.2
1223,2028,5.383189501725467,0.0,2.3525626808404922,0.14336643321439624,2482176,1212,0.24521484375,12110,2.4710352420806885,0.00035816592640003364,-0.20113110542297363,-0.032966581213986504,-45.902985262870786,0.9985036849975586,0.00025,0.0376433,0.2
1224,2028,2.7286403411236293,0.0,2.262823671102524,0.04967019001742301,2484224,1213,0.288818359375,12120,2.474745988845825,0.00023084062281668593,-0.2889055609703064,-0.03597481781616807,-45.92743484973907,0.9989259839057922,0.00025,0.035330743,0.2
1225,2029,1.9507780761465943,0.0,1.7435193806886673,0.057907719165086746,2486272,1214,0.300146484375,12130,2.4764809608459473,0.0004595397894263442,-0.3097718358039856,-0.043793129140976814,-45.96061670780182,0.998002290725708,0.00025,0.034210585,0.2
1225,2029,3.3790594297166385,0.0,2.282077446579933,0.07227905094077869,2488320,1215,0.27001953125,12140,2.4790425300598145,0.0003860458634335373,-0.2828783392906189,-0.04473818407859653,-45.981983709335324,0.998766303062439,0.00025,0.030881718,0.2
1226,2030,3.717925552530255,0.0,2.1068222522735596,0.0483047291636467,2490368,1216,0.24541015625,12150,2.480196475982666,0.005439157364980929,-0.2612074911594391,-0.024663176183821633,-45.99493100643158,0.9678478240966797,0.00025,0.027472042,0.2
1227,2030,3.1756552664214133,0.0,2.265724614262581,0.03680968286062125,2492416,1217,0.32158203125,12160,2.4797420501708984,0.0002742115705586912,-0.2911410927772522,-0.044648129248525945,-45.99712500572205,0.9993163347244263,0.00025,0.03229008,0.2
1228,2031,5.4163758399434725,0.0,3.5350492894649506,0.19050847364997026,2494464,1218,0.30615234375,12170,2.4819531440734863,0.0005700978753338859,-0.3135940730571747,-0.05324978365679271,-46.01216132640839,0.9980605840682983,0.00025,0.05092659,0.2
1228,2031,5.308724627476003,0.0,3.059373050928116,0.1458045173494611,2496512,1219,0.312353515625,12180,2.482163906097412,0.000791389067808268,-0.2960774898529053,-0.047968441469129174,-46.02007615566254,0.9920521974563599,0.00025,0.041998394,0.2
1229,2031,4.5339354391324465,0.0,3.068057656288147,0.061920519947307184,2498560,1220,0.275146484375,12190,2.4866225719451904,0.0007464542124125728,-0.2811323404312134,-0.03802558605966624,-46.04007623195648,0.9927967190742493,0.00025,0.033683255,0.2
1230,2031,2.9888497140926216,0.0,2.512556493282318,0.06895046084173373,2500608,1221,0.301904296875,12200,2.490382671356201,0.0010353992713135086,-0.29930606484413147,-0.048709297229652296,-46.068863821029666,0.9915438890457153,0.00025,0.04507098,0.2
1231,2031,3.788323812926837,0.0,2.3936092853546143,0.14343502520932816,2502656,1222,0.275927734375,12210,2.492649555206299,0.0014954653454879007,-0.27732694149017334,-0.041383014887105676,-46.09420387744903,0.9910880923271179,0.00025,0.04321828,0.2
1232,2032,3.24783398243795,0.0,2.04328054189682,0.1069041162791109,2504704,1223,0.262939453125,12220,2.492210626602173,0.0008282221184344962,-0.28596189618110657,-0.024552979032159784,-46.10024259090424,0.9935005903244019,0.00025,0.037243403,0.2
1233,2032,3.186759627664679,0.0,1.6078666895627975,0.08440654128935421,2506752,1224,0.289990234375,12230,2.492713212966919,0.0012067732696777965,-0.31479784846305847,-0.046492867718916385,-46.10577037334442,0.9865662455558777,0.00025,0.06314065,0.2
1234,2032,3.365932357005302,0.0,2.209053725004196,0.12059072477859445,2508800,1225,0.248779296875,12240,2.496591091156006,0.0008960690007370431,-0.27963730692863464,-0.045245335099752995,-46.121268248558046,0.9929073452949524,0.00025,0.059271872,0.2
1234,2033,4.431062754200505,0.0,2.704118564724922,0.14480713680677582,2510848,1226,0.289013671875,12250,2.499349594116211,0.00035478214063004997,-0.27108410000801086,-0.04928998738178052,-46.148079133033754,0.9987225532531738,0.00025,0.037702776,0.2
1235,2033,4.702823330939533,0.0,2.63839153945446,0.16689319461147534,2512896,1227,0.2935546875,12260,2.5032265186309814,0.0009466432033605088,-0.2867245078086853,-0.040067644137889144,-46.178741979598996,0.9904991984367371,0.00025,0.038690854,0.2
1236,2033,5.175291789692924,0.0,2.4466748535633087,0.1376128077681642,2514944,1228,0.333740234375,12270,2.50498628616333,0.0005114796210818895,-0.2985818386077881,-0.053389308077748866,-46.21501221656799,0.9963350296020508,0.00025,0.04106813,0.2
1237,2033,2.7170922930121844,0.0,1.6887650042772293,0.09630726165050874,2516992,1229,0.313134765625,12280,2.5057168006896973,0.0006668840843758516,-0.2887040972709656,-0.04687447733595036,-46.21857204437256,0.9963760375976562,0.00025,0.057673145,0.2
1238,2033,3.4645002914026897,0.0,1.8291520327329636,0.20693511217541527,2519040,1230,0.255224609375,12290,2.506600856781006,0.0007803887319369097,-0.29660019278526306,-0.04364970323222224,-46.226624155044554,0.9972774982452393,0.00025,0.036438726,0.2
1239,2034,3.224697474494402,0.0,1.5465866178274155,0.1424557406335225,2521088,1231,0.306494140625,12300,2.5109286308288574,0.0005711467612400156,-0.30690136551856995,-0.053436616883846,-46.25503036975861,0.9976800680160522,0.00025,0.03502577,0.2
1240,2034,2.7197457093561668,0.0,1.4592447951436043,0.07198882327065803,2523136,1232,0.312744140625,12310,2.5157175064086914,0.0002845399328634812,-0.30621397495269775,-0.04602909337845631,-46.286249780654906,0.9985474944114685,0.00025,0.038187355,0.2
1240,2034,4.131583311691633,0.0,2.139922469854355,0.07238292616966646,2525184,1233,0.299951171875,12320,2.514235019683838,0.0002508615497845312,-0.29825645685195923,-0.05301908128894865,-46.28996443748474,0.9991318583488464,0.00025,0.030729465,0.2
1241,2035,6.333173442052277,0.0,2.7551159858703613,0.20261734454834368,2527232,1234,0.3044921875,12330,2.5196328163146973,0.00041174221223627683,-0.3082697093486786,-0.05247846468701027,-46.31367859840393,0.9980199933052063,0.00025,0.033322223,0.2
1242,2035,5.423030997563821,0.0,2.822536066174507,0.21469993740902282,2529280,1235,0.31982421875,12340,2.5185680389404297,0.0009935135137766338,-0.31646981835365295,-0.050404817244270816,-46.32720725536346,0.9885808825492859,0.00025,0.040113777,0.2
1243,2035,2.523165395401045,0.0,1.6856495514512062,0.16290611103977426,2531328,1236,0.318212890625,12350,2.5193562507629395,0.00033404450118723616,-0.28643766045570374,-0.03668010231340304,-46.32704362869263,0.9981794357299805,0.00025,0.02891744,0.2
1244,2035,2.438169839177351,0.0,1.4492684379220009,0.09730696902261116,2533376,1237,0.27373046875,12360,2.522071123123169,0.0005185577651445783,-0.30016204714775085,-0.04377323008957319,-46.338942074775694,0.997494101524353,0.00025,0.043781757,0.2
1245,2035,3.4967350185263264,0.0,2.03403477370739,0.16784755474509438,2535424,1238,0.301708984375,12370,2.5283260345458984,0.00027019982735509984,-0.30228090286254883,-0.045934711990412325,-46.36493666172028,0.9994105100631714,0.00025,0.036686856,0.2
1246,2036,3.4201044090376573,0.0,1.9959927946329117,0.11966493464387895,2537472,1239,0.2791015625,12380,2.527188539505005,0.0006189113389154955,-0.2675502300262451,-0.04176907950895838,-46.38667030334473,0.9972350597381592,0.00025,0.04158255,0.2
1247,2036,2.8830460495873877,0.0,2.1605226397514343,0.048723518833867274,2539520,1240,0.239404296875,12390,2.5313305854797363,0.0006074983089092711,-0.29058995842933655,-0.023172814841382207,-46.40234644412995,0.9953804016113281,0.00025,0.033463903,0.2
