episode,total_reward,mean_form_error,max_form_error,form_var,mean_z_error,min_dyn_distance,collision,threat,r_terms,ic_chase_mode
60,-10.76520878733057,0.05189310386776924,0.05896134674549103,3.475433913990855e-05,0.0005990624194964767,0.10923010110855103,1.0,1.0,"{'r_form': -0.0358823853218928, 'r_form_var': -1.459682243876159e-05, 'r_height': -0.00023962496779859067, 'r_smooth': -0.0009769473969936371, 'r_evade': -2.0304678916931156, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23931207656860354, 'collision': -8.0}",most_error
61,-21.924570932641647,0.0482938289642334,0.056148819625377655,6.138133176136762e-05,0.0006320595857687294,0.10889443010091782,1.0,1.0,"{'r_form': -0.033956697534304116, 'r_form_var': -2.5780159339774397e-05, 'r_height': -0.0002528238343074918, 'r_smooth': -0.0009098803997039795, 'r_evade': -2.073316709697247, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2682243824005127, 'collision': -8.0}",most_error
62,-25.657162887443487,0.048976607620716095,0.06437075883150101,0.00010476273018866777,0.0006989717367105186,0.232220858335495,0.0,1.0,"{'r_form': -0.03867626898922026, 'r_form_var': -4.400034667924046e-05, 'r_height': -0.00027958869468420745, 'r_smooth': -0.0009075979888439179, 'r_evade': -1.7033374249935151, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.27678875923156737, 'collision': 0.0}",nearest
63,-10.750839134632143,0.040289368480443954,0.04885248839855194,7.65082222642377e-05,0.0006308316951617599,0.11167452484369278,1.0,1.0,"{'r_form': -0.02914212216273881, 'r_form_var': -3.213345335097983e-05, 'r_height': -0.00025233267806470396, 'r_smooth': -0.0009900726377964019, 'r_evade': -2.0216864660382274, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24274809360504152, 'collision': -8.0}",random
64,-5.519767978291173,0.044505346566438675,0.0492621585726738,1.8419888874632306e-05,0.001332437968812883,0.10233946144580841,1.0,1.0,"{'r_form': -0.029685911443084478, 'r_form_var': -7.736353327345568e-06, 'r_height': -0.0005329751875251532, 'r_smooth': -0.0010132267326116561, 'r_evade': -2.092981615662575, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24564085006713868, 'collision': -8.0}",most_error
65,-5.479071196523132,0.0471743568778038,0.05083625018596649,3.891167580150068e-05,0.00038057565689086914,0.10909917950630188,1.0,1.0,"{'r_form': -0.030845848487224433, 'r_form_var': -1.6342903836630282e-05, 'r_height': -0.00015223026275634766, 'r_smooth': -0.0015587711334228516, 'r_evade': -2.0727024614810947, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2271582841873169, 'collision': -8.0}",round_robin
66,-1.7553869279065966,0.05771128088235855,0.060539454221725464,1.095441712095635e-05,0.000632679439149797,0.09868210554122925,1.0,1.0,"{'r_form': -0.03741071844939142, 'r_form_var': -4.6008551908016664e-06, 'r_height': -0.0002530717756599188, 'r_smooth': -0.0015726275742053986, 'r_evade': -2.1039536833763126, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24821014404296876, 'collision': -8.0}",random
67,-2.2734191509519537,0.05680432170629501,0.06427290290594101,3.7000627344241366e-05,1.2362002962618135e-05,0.10754289478063583,1.0,1.0,"{'r_form': -0.03941974393324926, 'r_form_var': -1.5540263484581372e-05, 'r_height': -4.944801185047254e-06, 'r_smooth': -0.001415955424308777, 'r_evade': -2.077371315658093, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.27601692676544193, 'collision': -8.0}",nearest
68,-23.711689899931923,0.04662184417247772,0.05788523703813553,6.248390127439052e-05,0.00024355649657081813,0.11019525676965714,1.0,1.0,"{'r_form': -0.03476361687062308, 'r_form_var': -2.6243238535244016e-05, 'r_height': -9.742259862832725e-05, 'r_smooth': -0.0010968694835901262, 'r_evade': -2.069414229691029, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2304412364959717, 'collision': -8.0}",nearest
69,-27.783871751483513,0.051848042756319046,0.054522741585969925,3.0016831260581966e-06,0.0006057024002075195,0.10677839815616608,1.0,1.0,"{'r_form': -0.03335851753829047, 'r_form_var': -1.2607069129444423e-06, 'r_height': -0.00024228096008300782, 'r_smooth': -0.0009185303747653961, 'r_evade': -2.05317152440548, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.259899115562439, 'collision': -8.0}",round_robin
70,-26.31627812184561,0.04580731317400932,0.049653150141239166,1.518037879577605e-05,0.0005564689636230469,0.18736417591571808,0.0,1.0,"{'r_form': -0.030024928962811826, 'r_form_var': -6.37575909422594e-06, 'r_height': -0.00022258758544921876, 'r_smooth': -0.000913313776254654, 'r_evade': -1.837907472252846, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2464604139328003, 'collision': 0.0}",most_error
