episode,steps,total_reward,mean_form_error,max_form_error,form_var,mean_z_error,min_dyn_distance,collision,threat,r_terms
34,441,-2.7636532405056315,0.06451301276683807,0.06961362808942795,1.6742857042117976e-05,0.00027524231700226665,0.10533858090639114,1.0,1.0,"{'r_form': -0.04337123694363981, 'r_form_var': -7.031999957689549e-06, 'r_height': -0.00011009692680090666, 'r_smooth': -0.0014595630764961242, 'r_evade': -2.083984257280827, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2205807685852051, 'collision': -8.0}"
35,1000,-13.386974436759646,0.06048000976443291,0.065608911216259,2.8415481210686266e-05,0.0001581192045705393,0.18070927262306213,0.0,1.0,"{'r_form': -0.04061154955532402, 'r_form_var': -1.193450210848823e-05, 'r_height': -6.324768182821573e-05, 'r_smooth': -0.0009700785577297211, 'r_evade': -1.8125484116375448, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2588393211364746, 'collision': 0.0}"
36,613,-5.928060106544212,0.04456385597586632,0.04880527779459953,5.7846191339194775e-06,0.00032548903254792094,0.10761428624391556,1.0,1.0,"{'r_form': -0.02942226394545287, 'r_form_var': -2.42954003624618e-06, 'r_height': -0.00013019561301916838, 'r_smooth': -0.0011563251167535783, 'r_evade': -2.0771571412682537, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2408134937286377, 'collision': -8.0}"
37,1000,-13.905502221774267,0.05159261077642441,0.053805578500032425,1.7051003169399337e-06,0.0005358696216717362,0.18514390289783478,0.0,1.0,"{'r_form': -0.03292780155315995, 'r_form_var': -7.161421331147721e-07, 'r_height': -0.0002143478486686945, 'r_smooth': -0.0009588807821273804, 'r_evade': -1.7975110016763212, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2806105613708496, 'collision': 0.0}"
38,445,-2.9310348545752007,0.06385808438062668,0.0663202628493309,3.1313288673118223e-06,0.00044118164805695415,0.10466307401657104,1.0,1.0,"{'r_form': -0.04142438264098018, 'r_form_var': -1.3151581242709653e-06, 'r_height': -0.00017647265922278167, 'r_smooth': -0.0018170027434825898, 'r_evade': -2.086010777950287, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.26081717014312744, 'collision': -8.0}"
39,383,-2.7646080963883213,0.07592438161373138,0.07738969475030899,3.431310005908017e-06,0.00031094549922272563,0.1055319532752037,1.0,1.0,"{'r_form': -0.04939457054249942, 'r_form_var': -1.441150202481367e-06, 'r_height': -0.00012437819968909026, 'r_smooth': -0.0013394248485565185, 'r_evade': -2.0834041401743892, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2132814168930054, 'collision': -8.0}"
40,437,-2.816246398273671,0.06615165621042252,0.0682632178068161,7.931077561806887e-06,0.00016564130783081055,0.10253745317459106,1.0,1.0,"{'r_form': -0.04283057346008718, 'r_form_var': -3.3310525759588927e-06, 'r_height': -6.625652313232423e-05, 'r_smooth': -0.0014533627033233643, 'r_evade': -2.092387640476227, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.21747443675994874, 'collision': -8.0}"
41,608,-5.723466106748751,0.044413529336452484,0.04734545946121216,3.0538460578100057e-06,0.00041365623474121094,0.10148020833730698,1.0,1.0,"{'r_form': -0.02858785382704809, 'r_form_var': -1.2826153442802023e-06, 'r_height': -0.00016546249389648438, 'r_smooth': -0.0015615969896316528, 'r_evade': -2.0955593749880794, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24039573669433595, 'collision': -8.0}"
42,347,-2.888504233878631,0.0809994488954544,0.08309321850538254,5.152817720954772e-06,0.00047948359861038625,0.10567852109670639,1.0,1.0,"{'r_form': -0.05342656806111336, 'r_form_var': -2.164183442801004e-06, 'r_height': -0.0001917934394441545, 'r_smooth': -0.0013485440611839294, 'r_evade': -2.082964436709881, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2158555030822754, 'collision': -8.0}"
43,652,-5.038185701061774,0.05519381910562515,0.06461325287818909,0.0001088678982341662,0.0006890535587444901,0.10383079200983047,1.0,1.0,"{'r_form': -0.039496408060658725, 'r_form_var': -4.5724517258349805e-05, 'r_height': -0.00027562142349779606, 'r_smooth': -0.0009680524468421936, 'r_evade': -2.073160244710744, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2768863201141358, 'collision': -8.0}"
44,446,-2.921520273739974,0.06405879557132721,0.06507030874490738,2.762604708550498e-06,7.660388655494899e-05,0.1085374504327774,1.0,1.0,"{'r_form': -0.040750979534350334, 'r_form_var': -1.1602939775912089e-06, 'r_height': -3.0641554621979596e-05, 'r_smooth': -0.0014509192109107972, 'r_evade': -2.074387648701668, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2319511413574219, 'collision': -8.0}"
45,897,-9.350152696794337,0.047301821410655975,0.05813907831907272,4.3624135287245736e-05,0.0001130342498072423,0.10450952500104904,1.0,1.0,"{'r_form': -0.034953024459537116, 'r_form_var': -1.8322136820643206e-05, 'r_height': -4.5213699922896926e-05, 'r_smooth': -0.0010041073709726334, 'r_evade': -2.040457477420569, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23383142948150637, 'collision': -8.0}"
46,1000,-14.356251639375992,0.04600472375750542,0.05220751464366913,3.072155232075602e-05,8.111000352073461e-05,0.3598525822162628,0.0,1.0,"{'r_form': -0.03149072204949334, 'r_form_var': -1.2903051974717526e-05, 'r_height': -3.244400140829385e-05, 'r_smooth': -0.0010723374038934708, 'r_evade': -1.2768201284110547, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2607550144195557, 'collision': 0.0}"
47,11,-0.34616041148433924,0.004956004209816456,0.005948209669440985,2.461180486079684e-07,0.0012819170951843262,0.07049237936735153,1.0,1.0,"{'r_form': -0.003357045913762704, 'r_form_var': -1.033695804153467e-07, 'r_height': -0.0005127668380737305, 'r_smooth': -6.803891621530056e-05, 'r_evade': -2.1868630466982726, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22352249622344972, 'collision': -8.0}"
48,644,-4.573698758205409,0.0408429279923439,0.048576533794403076,1.9334420358063653e-05,0.0002605319023132324,0.10477866977453232,1.0,1.0,"{'r_form': -0.02897471172385849, 'r_form_var': -8.120456550386733e-06, 'r_height': -0.00010421276092529297, 'r_smooth': -0.0013129822909832, 'r_evade': -2.082161115109921, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23515772819519043, 'collision': -8.0}"
49,523,-5.913798063422778,0.052340924739837646,0.056451957672834396,5.485552901518531e-05,0.00024950504302978516,0.11013563722372055,1.0,1.0,"{'r_form': -0.034547244994901125, 'r_form_var': -2.3039322186377828e-05, 'r_height': -9.980201721191407e-05, 'r_smooth': -0.0012720513343811035, 'r_evade': -2.0695930883288387, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22560153007507325, 'collision': -8.0}"
50,877,-9.894974609991856,0.05252541974186897,0.060439396649599075,2.7636688173515722e-05,9.651183790992945e-05,0.10544732213020325,1.0,1.0,"{'r_form': -0.03677194619551301, 'r_form_var': -1.1607409032876603e-05, 'r_height': -3.8604735163971784e-05, 'r_smooth': -0.0009331803768873215, 'r_evade': -2.040352807939053, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24463279247283937, 'collision': -8.0}"
51,1000,-10.056182016007638,0.051121778786182404,0.057859521359205246,1.2543375305540394e-05,0.00011477470252430066,0.1917547881603241,0.0,1.0,"{'r_form': -0.03515861017396674, 'r_form_var': -5.268217628326965e-06, 'r_height': -4.5909881009720266e-05, 'r_smooth': -0.0009683369100093841, 'r_evade': -1.779480578005314, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.25651092529296876, 'collision': 0.0}"
52,416,-2.683580846691643,0.07017119228839874,0.07218495011329651,5.1995502872159705e-06,0.0005031347391195595,0.10826906561851501,1.0,1.0,"{'r_form': -0.0455992269795388, 'r_form_var': -2.1838111206307074e-06, 'r_height': -0.00020125389564782382, 'r_smooth': -0.0014276878535747527, 'r_evade': -2.0751928031444553, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.21791253089904786, 'collision': -8.0}"
53,1000,-14.585195834770145,0.05127380043268204,0.0549892783164978,9.443721864954568e-06,0.00034646986750885844,0.39314496517181396,0.0,1.0,"{'r_form': -0.033564364577177916, 'r_form_var': -3.966363183280918e-06, 'r_height': -0.0001385879470035434, 'r_smooth': -0.00100919209420681, 'r_evade': -1.1810805402696134, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2522804975509644, 'collision': 0.0}"
