time/fps,custom/min_dyn_distance,custom/collision,time/total_timesteps,custom/mean_form_error,time/time_elapsed,custom/mean_z_error,time/iterations,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/std,train/approx_kl
2087,3.942673236131668,0.0,69632,10.525205807482621,33,0.3322383835911751,17,0.9945226311683655,-0.009143376760766842,0.7604893445968628,0.1124267578125,-68.65749917030334,0.2,15.901019394397736,0.0003,41680,7.8111419677734375,0.014445651
2095,1.2587536871433258,0.0,73728,0.9111142732732024,35,0.001703372603515163,18,0.9645835757255554,-0.018807248972007074,0.32847052812576294,0.16494140625,-68.694655251503,0.2,10.463256084173917,0.0003,41690,7.8316144943237305,0.018463619
2112,6.30514395236969,0.0,77824,9.310757211831971,36,0.5706806406378746,19,0.9965852499008179,-0.010231221160211135,2.3502917289733887,0.1068115234375,-68.74027345180511,0.2,12.945076860487461,0.0003,41700,7.852845668792725,0.011378482
2126,1.1403124928474426,0.0,81920,1.008263234443458,38,0.0018884867313317955,20,0.9182291030883789,-0.017705588792159686,0.2581922709941864,0.1576416015625,-68.76990356445313,0.2,10.044008421339095,0.0003,41710,7.848532676696777,0.01882171
2139,4.025909602642059,0.0,86016,8.588549035357614,40,0.21740155966836028,21,0.9975000023841858,-0.00882950023151352,1.162088394165039,0.0870849609375,-68.7791063785553,0.2,6.5904068171978,0.0003,41720,7.858966827392578,0.013180729
2139,2.891249865293503,0.0,90112,4.404210009838612,42,0.09954839796409942,22,0.9523812532424927,-0.011882318001880776,2.2797529697418213,0.0739501953125,-68.81377973556519,0.2,63.90522682126611,0.0003,41730,7.871316432952881,0.01042208
2146,3.1265376806259155,0.0,94208,11.733246980231824,43,0.4476996987941675,23,0.9897589087486267,-0.011669503447774333,0.5404328107833862,0.1546630859375,-68.84583232402801,0.2,14.559777991101146,0.0003,41740,7.8790764808654785,0.019730676
2150,3.137652337551117,0.0,98304,3.46527811311585,45,0.17503297328948975,24,0.9805030226707458,-0.011189198945066892,1.9778333902359009,0.072509765625,-68.86027255058289,0.2,25.750216765701772,0.0003,41750,7.890474796295166,0.009427187
2153,7.411096215248108,0.0,102400,11.760959645023236,47,0.46070265397429466,25,0.9955850839614868,-0.004316665673104581,1.3205764293670654,0.1476318359375,-68.88292727470397,0.2,9.162514759227633,0.0003,41760,7.895035743713379,0.015861785
2159,1.4325625449419022,0.0,106496,7.079055502665671,49,0.19047234952449799,26,0.9852425456047058,-0.0075953640294756045,0.3729621469974518,0.1126708984375,-68.91783666610718,0.2,8.480379466339945,0.0003,41770,7.921469688415527,0.013378211
2168,4.9457248747348785,0.0,110592,15.374972988689004,51,0.38114259392023087,27,0.9912615418434143,-0.010531118177459576,1.4975836277008057,0.13251953125,-68.97960579395294,0.2,17.37034190520644,0.0003,41780,7.93893575668335,0.013963733
2171,2.8714637756347656,0.0,114688,4.715349671565411,52,0.09807813765655737,28,0.978722095489502,-0.012774958946101833,0.7043503522872925,0.10341796875,-69.02891974449157,0.2,13.748114353790879,0.0003,41790,7.963339328765869,0.012725098
2177,6.241887629032135,0.0,118784,11.658031249478094,54,0.3978620901762042,29,0.9888896942138672,-0.0071883954791701395,0.830643892288208,0.0921142578125,-69.0572005033493,0.2,20.39603021480143,0.0003,41800,7.968729496002197,0.013528444
2177,1.9790261089801788,0.0,122880,4.650291517384301,56,0.12419589163619094,30,0.993113100528717,-0.01356803627422778,0.052742570638656616,0.21171875,-69.09089543819428,0.2,3.632056147418916,0.0003,41810,7.9870710372924805,0.023213102
2185,6.187634825706482,0.0,126976,19.06851689250423,58,0.3941551178577356,31,0.9964614510536194,-0.019390199781628325,0.7593919038772583,0.2173095703125,-69.06936397552491,0.2,3.107627827022225,0.0003,41820,7.969181060791016,0.021145327
2187,2.2348324060440063,0.0,131072,4.5585891753931165,59,0.09652500599622726,32,0.9857844710350037,-0.01253706934658112,0.8871515393257141,0.130322265625,-69.08229012489319,0.2,9.06580924205482,0.0003,41830,7.9878997802734375,0.014810169
2194,4.599459409713745,0.0,135168,12.389320991224336,61,0.3463924257957842,33,0.9949549436569214,-0.013734993597608991,1.093524694442749,0.1404052734375,-69.10350556373596,0.2,12.540389312058688,0.0003,41840,7.98337459564209,0.014613437
2183,1.7619785070419312,0.0,139264,2.820599722436578,63,0.0014911741018295288,34,0.9936823844909668,-0.014458770446071866,-0.06302449107170105,0.189794921875,-69.09878726005554,0.2,2.3435089753940703,0.0003,41850,7.970446586608887,0.022660337
2189,5.1651681661605835,0.0,143360,13.301681524895127,65,0.42792180851392914,35,0.9972528219223022,-0.013531219719152433,0.1371774971485138,0.1283203125,-69.10884885787964,0.2,3.7572474351152776,0.0003,41860,7.987113952636719,0.014152635
2191,3.532047986984253,0.0,147456,6.076242125322394,67,0.14276089073973708,36,0.9545300006866455,-0.012984563589998287,0.8274314403533936,0.115869140625,-69.14245748519897,0.2,59.848504283837975,0.0003,41870,7.995561122894287,0.012409104
2186,2.8025717735290527,0.0,151552,11.782449375606891,69,0.4345416523574386,37,0.9977132678031921,-0.015930537825624924,-0.03433269262313843,0.13212890625,-69.18807427883148,0.2,4.538384506851434,0.0003,41880,8.01494026184082,0.012793686
